ADDACC,Add Access Code,アクセスコードを追加する
STRREXPRC,Start REXX Procedure,REXXプロシージャーを開始する
STRRMTSPT,Start Remote Support,リモート・サポートを開始する
STRRMTWTR,Start Remote Writer,リモート書き出しプログラムを開始する
STRRSESVR,Start Remote Systems Explorer Server,RSEサーバーを開始する
STRS36,Start S/36 Session,S/36セッションを開始する
STRS36PRC,Start S/36 Procedure,S/36プロシージャーを開始する
STRSAVSYNC,Start Save Synchronization,保管同期を開始する
STRSBS,Start Subsystem,サブシステムを開始する
STRSBSBRM,Start Subsystems using BRMS,BRMSを使用してサブシステムを開始する
STRSCHIDX,Start Search Index,検索索引を開始する
STRSEU,Start Source Entry Utility,SEUを開始する
STRSPLRCL,Start Spool Reclaim,スプール再利用を開始する
STRSPTN,Start Support Network,サポート・ネットワークを開始する
STRSQL,Start SQL Interactive Session,対話式SQLセッションを開始する
STRSRVAGT,Start Service Agent,サービス・エージェントを開始する
STRSRVJOB,Start Service Job,サービス・ジョブを開始する
STRSST,Start System Service Tools,システム保守ツールを開始する
STRSVCSSN,Start SAN Volume Controller ASP Session,SVC ASPセッションを開始する
STRTCP,Start TCP/IP,TCP/IPを開始する
STRTCPFTP,Start TCP/IP File Transfer,TCP/IPファイル転送を開始する
STRTCPIFC,Start TCP/IP Interface,TCP/IPインターフェースを開始する
STRTCPSVR,Start TCP/IP Server,TCP/IPサーバーを開始する
STRTCPTELN,Start TCP/IP TELNET,TCP/IP TELNETを開始する
STRTFMMGR,Start Transform Manager,変換マネージャーを開始する
STRTIESSN,Start TIE Session,TIEセッションを開始する
STRTRC,Start Trace,トレースを開始する
STRTRKJOBQ,Start Tracking Job Queue,ジョブ待ち行列の追跡を開始する
STRTRPMGR,Start Trap Manager,トラップ・マネージャーを開始する
STRVPNCNN,Start VPN Connection,VPN接続を開始する
STRWCH,Start Watch,監視を開始する
TELNET,Start TCP/IP TELNET,TCP/IP TELNETを開始する
TFRBCHJOB,Transfer Batch Job,バッチ・ジョブを転送する
TFRCTL,Transfer Control,制御権を転送する
TFRGRPJOB,Transfer to Group Job,グループ・ジョブに転送する
TFRJOB,Transfer Job,ジョブを転送する
TFRPASTHR,Transfer Pass-Through,パススルーを転送する
TFRSECJOB,Transfer Secondary Job,2次ジョブを転送する
TRACEROUTE,Trace Route of an IP Packet,IPパケットの経路をトレースする
TRCASPBAL,Trace Auxiliary Storage Pool Balance,ASPバランスをトレースする
TRCCNN,Trace Connection,接続をトレースする
TRCCPIC,Trace CPI Communications,CPI通信をトレースする
TRCICF,Trace Intersystem Communications Function,ICFをトレースする
TRCINT,Trace Internal,内部をトレースする
TRCJOB,Trace Job,ジョブをトレースする
TRCREX,Trace REXX,REXXをトレースする
TRCTCPAPP,Trace TCP/IP Application,TCP/IPアプリケーションをトレースする
TRCTCPRTE,Trace TCP/IP Packet Route,TCP/IPパケット経路をトレースする
TRNCKMKSF,Translate Crytographic Key Management Keystore File,暗号鍵管理キーストア・ファイルを変換する
UNMOUNT,Remove Mounted File System,マウント・ファイル・システムを除去する
UPDDOCOND,Update Document in OnDemand,OnDemandの文書を更新する
UPDDTA,Update Data with Temp Program,一時プログラムでデータを更新する
UPDPGM,Update Program,プログラムを更新する
UPDPTFINF,Update PTF Information,PTF情報を更新する
UPDSRVPGM,Update Service Program,サービス・プログラムを更新する
UPDSYSINF,Update System Information,システム情報を更新する
UPDTCPINF,Update TCP/IP Information,TCP/IP情報を更新する
VFYAPPCCNN,Verify APPC Connection,APPC接続を検査する
VFYCMN,Verify Communications,通信を検査する
VFYIMGCLG,Verify Image Catalog,イメージ・カタログを検査する
VFYLNKLPDA,Verify Link supporting LPDA-2,LPDA-2サポート・リンクを検査する
VFYMOVBRM,Verify Moves using BRMS,BRMSを使用して移動を検査する
VFYOPT,Verify Optical,光ディスクを検査する
VFYPRT,Verify Printer,印刷装置を検査する
VFYSRVAGT,Verify Service Agent,サービス・エージェントを検査する
VFYSRVCFG,Verify Service Configuration,サービス構成を検査する
VFYTAP,Verify Tape,磁気テープを検査する
VFYTCPCNN,Verify TCP/IP Connection,TCP/IP接続を検査する
VRYCFG,Vary Configuration,構成をオン/オフに構成変更する
WAIT,Wait,待機する
WHEN,When,WHEN
WRKACTJOB,Work with Active Jobs,活動ジョブを処理する
WRKALR,Work with Alerts,アラートを処理する
WRKALRD,Work with Alert Descriptions,アラート記述を処理する
WRKALRTBL,Work with Alert Table,アラート・テーブルを処理する
WRKAPPNSTS,Work with APPN Status,APPN状況を処理する
WRKARMJOB,Work with ARM Jobs,ARMジョブを処理する
WRKASPBRM,Work with Auxiliary Storage Pool Descriptions,ASP記述を処理する
WRKASPCPYD,Work with ASP Copy Descriptions,ASPコピー記述を処理する
WRKASPJOB,Work with Auxiliary Storage Pool Jobs,ASPジョブを処理する
WRKASPJOBQ,Work with ASP Job Queue,ASPジョブ待ち行列を処理する
WRKAUT,Work with Authority,権限を処理する
WRKAUTL,Work with Authorization Lists,権限リストを処理する
WRKBNDDIR,Work with Binding Directories,バインド・ディレクトリーを処理する
WRKBNDDIRE,Work with Binding Directory Entries,バインド・ディレクトリー項目を処理する
WRKCADMRE,Work with Cluster Administrative Domain Managed Resource Entries,クラスター管理ドメイン管理リソース項目を処理する
WRKCALBRM,Work with Calendars using BRMS,BRMSを使用してカレンダーを処理する
WRKCFGL,Work with Configuration Lists,構成リストを処理する
WRKCFGSTS,Work with Configuration Status,構成状況を処理する
WRKCHTFMT,Work with Chart Formats,チャート様式を処理する
WRKCLS,Work with Classes,クラスを処理する
WRKCLSBRM,Work with Classes using BRMS,BRMSを使用してクラスを処理する
WRKCLU,Work with Cluster,クラスターを処理する
WRKCMD,Work with Commands,コマンドを処理する
WRKCMTDFN,Work with Commitment Definitions,コミットメント定義を処理する
WRKCNNL,Work with Connection Lists,接続リストを処理する
WRKCNRBRM,Work with Containers using BRMS,BRMSを使用してコンテナーを処理する
WRKCNTINF,Work with Contact Information,連絡先情報を処理する
WRKCOSD,Work with COS Descriptions,COS記述を処理する
WRKCSI,Work with Communications Side Information,通信サイド情報を処理する
WRKCTLD,Work with Controller Descriptions,コントローラー記述を処理する
WRKCTLGBRM,Work with Control Groups,制御グループを処理する
WRKDBFIDD,Work with Database Files using IDDU,IDDUを使用してデータベース・ファイルを処理する
WRKDDMF,Work with Distributed Data Management Files,DDMファイルを処理する
WRKDEVBRM,Work with Devices using BRMS,BRMSを使用して装置を処理する
WRKDEVD,Work with Device Descriptions,装置記述を処理する
WRKDEVTBL,Work with Device Tables,装置テーブルを処理する
WRKDIRE,Work with Directory Entries,ディレクトリー項目を処理する
WRKDIRLOC,Work with Directory Locations,ディレクトリー・ロケーションを処理する
WRKDIRSHD,Work with Directory Shadow Systems,ディレクトリー・シャドー・システムを処理する
WRKDOC,Work with Documents,文書を処理する
WRKDOCLIB,Work with Document Libraries,文書ライブラリーを処理する
WRKDOCPRTQ,Work with Document Print Queue,文書印刷待ち行列を処理する
WRKDPCQ,Work with DSNX/PC Queues,DSNX/PC待ち行列を処理する
WRKDSKSTS,Work with Disk Status,ディスク状況を処理する
WRKDSTL,Work with Distribution Lists,配布リストを処理する
WRKDSTQ,Work with Distribution Queue,配布待ち行列を処理する
WRKDTAARA,Work with Data Areas,データ域を処理する
WRKDTADCT,Work with Data Dictionaries,データ・ディクショナリーを処理する
WRKDTADFN,Work with Data Definitions,データ定義を処理する
WRKDTAQ,Work with Data Queues,データ待ち行列を処理する
WRKEDTD,Work with Edit Descriptions,編集記述を処理する
WRKENVVAR,Work with Environment Variables,環境変数を処理する
WRKF,Work with Files,ファイルを処理する
WRKFCNARA,Work with Functional Areas,機能域を処理する
WRKFCNUSG,Work with Function Usage,機能使用法を処理する
WRKFLR,Work with Folders,フォルダーを処理する
WRKFLRBRM,Work with Saved Folders,保管済みフォルダーを処理する
WRKFNTRSC,Work with Font Resources,フォント・リソースを処理する
WRKFORMDF,Work with Form Definitions,用紙定義を処理する
WRKFTR,Work with Filters,フィルターを処理する
WRKFTRACNE,Work with Filter Action Entry,フィルター処置項目を処理する
WRKFTRSLTE,Work with Filter Selection Entry,フィルター選択項目を処理する
WRKGSS,Work with Graphics Symbol Sets,グラフィックス記号セットを処理する
WRKHACFGD,Work with HA Configuration Description,HA構成記述を処理する
WRKHAPCY,Work with High Availability Policy,高可用性ポリシーを処理する
WRKHDWPRD,Work with Hardware Products,ハードウェア・プロダクトを処理する
WRKHDWRSC,Work with Hardware Resources,ハードウェア資源を処理する
WRKHLDOPTF,Work with Held Optical Files,保留光ディスク・ファイルを処理する
WRKHSTJS,Work with History using Advanced Job Scheduler,AJSを使用してヒストリーを処理する
WRKHYSSTS,Work with HyperSwap Status,HyperSwap状況を処理する
WRKIMGCLG,Work with Image Catalogs,イメージ・カタログを処理する
WRKIMGCLGE,Work with Image Catalog Entries,イメージ・カタログ項目を処理する
WRKIPXD,Work with IPX Descriptions,IPX記述を処理する
WRKJOB,Work with Job,ジョブを処理する
WRKJOBD,Work with Job Descriptions,ジョブ記述を処理する
WRKJOBJS,Work with Jobs using Advanced Job Scheduler,AJSを使用してジョブを処理する
WRKJOBLOG,Work with Job Logs,ジョブ・ログを処理する
WRKJOBQ,Work with Job Queue,ジョブ待ち行列を処理する
WRKJOBQD,Work with Job Queue Description,ジョブ待ち行列記述を処理する
WRKJOBSCDE,Work with Job Schedule Entries,ジョブ・スケジュール項目を処理する
WRKJRN,Work with Journal,ジャーナルを処理する
WRKJRNA,Work with Journal Attributes,ジャーナル属性を処理する
WRKJRNRCV,Work with Journal Receivers,ジャーナル・レシーバーを処理する
WRKJVMJOB,Work with Java Virtual Machine Jobs,JVMジョブを処理する
WRKLANADPT,Work with LAN Adapters,LANアダプターを処理する
WRKLBRM,Work with Lists using BRMS,BRMSを使用してリストを処理する
WRKLIB,Work with Libraries,ライブラリーを処理する
WRKLIBPDM,Work with Libraries using Programming Development Manager,PDMを使用してライブラリーを処理する
WRKLICINF,Work with License Information,ライセンス情報を処理する
WRKLIND,Work with Line Descriptions,回線記述を処理する
WRKLNK,Work with Object Links,オブジェクト・リンクを処理する
WRKLNKBRM,Work with Link Information,リンク情報を処理する
WRKLOCBRM,Work with Locations using BRMS,BRMSを使用してロケーションを処理する
WRKMBRPDM,Work with Members using Programming Development Manager,PDMを使用してメンバーを処理する
WRKMEDBRM,Work with Media using BRMS,BRMSを使用して媒体を処理する
WRKMEDIBRM,Work with Media Information,媒体情報を処理する
WRKMGRIBRM,Work with Migration Information,マイグレーション情報を処理する
WRKMIGSTS,Work with Migration Status,マイグレーション状況を処理する
WRKMLBBRM,Work with Media Libraries,媒体ライブラリーを処理する
WRKMLBRSCQ,Work with Media Library Resource Queue,媒体ライブラリー資源待ち行列を処理する
WRKMLBSTS,Work with Media Library Status,媒体ライブラリー状況を処理する
WRKMLMBRM,Work with Media Library Media,媒体ライブラリー媒体を処理する
WRKMNU,Work with Menus,メニューを処理する
WRKMOD,Work with Modules,モジュールを処理する
WRKMODD,Work with Mode Descriptions,モード記述を処理する
WRKMSG,Work with Messages,メッセージを処理する
WRKMSGD,Work with Message Descriptions,メッセージ記述を処理する
WRKMSGF,Work with Message Files,メッセージ・ファイルを処理する
WRKMSGQ,Work with Message Queues,メッセージ待ち行列を処理する
WRKNAMSMTP,Work with Names for SMTP,SMTP名を処理する
WRKNCK,Work with Nickname,ニックネームを処理する
WRKNETF,Work with Network Files,ネットワーク・ファイルを処理する
WRKNETJOBE,Work with Network Job Entries,ネットワーク・ジョブ項目を処理する
WRKNETTBLE,Work with Network Table Entry,ネットワーク・テーブル項目を処理する
WRKNODL,Work with Node List,ノード・リストを処理する
WRKNODLE,Work with Node List Entries,ノード・リスト項目を処理する
WRKNTBD,Work with NetBIOS Descriptions,NetBIOS記述を処理する
WRKNWID,Work with Network Interfaces,ネットワーク・インターフェースを処理する
WRKNWSCFG,Work with Network Server Configurations,ネットワーク・サーバー構成を処理する
WRKNWSD,Work with Network Servers,ネットワーク・サーバーを処理する
WRKNWSENR,Work with Network Server User Enrollment,ネットワーク・サーバー・ユーザー登録を処理する
WRKNWSSTG,Work with Network Server Storage Spaces,ネットワーク・サーバー記憶スペースを処理する
WRKNWSSTS,Work with Network Server Status,ネットワーク・サーバー状況を処理する
WRKOBJ,Work with Objects,オブジェクトを処理する
WRKOBJBRM,Work with Saved Objects,保管済みオブジェクトを処理する
WRKOBJLCK,Work with Object Locks,オブジェクト・ロックを処理する
WRKOBJOWN,Work with Objects by Owner,所有者別にオブジェクトを処理する
WRKOBJPDM,Work with Objects using Programming Development Manager,PDMを使用してオブジェクトを処理する
WRKOBJPGP,Work with Objects by Primary Group,1次グループ別にオブジェクトを処理する
WRKOBJPVT,Work with Objects by Private Authority,プライベート権限別にオブジェクトを処理する
WRKOPTDIR,Work with Optical Directories,光ディスク・ディレクトリーを処理する
WRKOPTF,Work with Optical Files,光ディスク・ファイルを処理する
WRKOPTVOL,Work with Optical Volumes,光ディスク・ボリュームを処理する
WRKOUTQ,Work with Output Queue,出力待ち行列を処理する
WRKOUTQD,Work with Output Queue Descriptions,出力待ち行列記述を処理する
WRKOVL,Work with Overlays,オーバーレイを処理する
WRKPAGDFN,Work with Page Definitions,ページ定義を処理する
WRKPAGSEG,Work with Page Segments,ページ・セグメントを処理する
WRKPCLTBLE,Work with Protocol Table Entry,プロトコル・テーブル項目を処理する
WRKPCYBRM,Work with Policies using BRMS,BRMSを使用してポリシーを処理する
WRKPDFMAPE,Work with PDF Map Entries,PDFマップ項目を処理する
WRKPEXDFN,Work with Performance Explorer Definitions,PEX定義を処理する
WRKPEXFTR,Work with Performance Explorer Filters,PEXフィルターを処理する
WRKPFCST,Work with Physical File Constraints,物理ファイル制約を処理する
WRKPFDL,Work with Physical File DataLinks,物理ファイルDataLinkを処理する
WRKPGM,Work with Programs,プログラムを処理する
WRKPGMTBL,Work with Program Tables,プログラム・テーブルを処理する
WRKPNLGRP,Work with Panel Groups,パネル・グループを処理する
WRKPRB,Work with Problems,問題を処理する
WRKPRDINF,Work with Product Information,プロダクト情報を処理する
WRKPRTSTS,Work with Printing Status,印刷状況を処理する
WRKPSFCFG,Work with Print Services Facility Configuration,PSF構成を処理する
WRKPTF,Work with Program Temporary Fix,PTFを処理する
WRKPTFGRP,Work with Program Temporary Fix Groups,PTFグループを処理する
WRKPTFORD,Work with Program Temporary Fix Orders,PTFオーダーを処理する
WRKQMFORM,Work with Query Management Forms,QMフォームを処理する
WRKQMQRY,Work with Query Management Queries,QM照会を処理する
WRKQRY,Work With Queries,Queryを処理する
WRKQST,Work with Questions,質問を処理する
WRKRCYBRM,Work with Recovery Activities,回復活動を処理する
WRKRDBDIRE,Work with Relational Database Directory Entry,RDBディレクトリー項目を処理する
WRKRDR,Work with Readers,読み取りプログラムを処理する
WRKREGINF,Work with Registration Information,登録情報を処理する
WRKRMTDFN,Work with Remote Definitions,リモート定義を処理する
WRKRPYLE,Work with Reply List Entries,応答リスト項目を処理する
WRKS36,Work with S/36 Configuration,S/36構成を処理する
WRKS36PGMA,Work with S/36 Program Attributes,S/36プログラム属性を処理する
WRKS36PRCA,Work with S/36 Procedure Attributes,S/36プロシージャー属性を処理する
WRKS36SRCA,Work with S/36 Source Attributes,S/36ソース属性を処理する
WRKSAVFBRM,Work with Save Files,保管ファイルを処理する
WRKSBMJOB,Work with Submitted Jobs,投入済みジョブを処理する
WRKSBS,Work with Subsystems,サブシステムを処理する
WRKSBSD,Work with Subsystem Description,サブシステム記述を処理する
WRKSBSJOB,Work with Subsystem Jobs,サブシステム・ジョブを処理する
WRKSCHIDX,Work with Search Indexes,検索索引を処理する
WRKSCHIDXE,Work with Search Index Entries,検索索引項目を処理する
WRKSDSTL,Work with SMTP Dist Lists,SMTP配布リストを処理する
WRKSFWAGR,Work with Software Agreements,ソフトウェア契約を処理する
WRKSHRPOOL,Work with Shared Storage Pools,共用記憶域プールを処理する
WRKSMTPEMM,Work with SMTP E-Mail Messages,SMTP E-Mailメッセージを処理する
WRKSMTPUSR,Work with All SMTP Users,全SMTPユーザーを処理する
WRKSOC,Work with Sphere of Control,制御範囲を処理する
WRKSPADCT,Work with Spelling Aid Dictionaries,スペル援助ディクショナリーを処理する
WRKSPLF,Work with Spooled Files,スプール・ファイルを処理する
WRKSPLFA,Work with Spooled File Attributes,スプール・ファイル属性を処理する
WRKSPLFBRM,Work with Saved Spooled Files,保管済みスプール・ファイルを処理する
WRKSPTPRD,Work with Supported Products,サポート・プロダクトを処理する
WRKSRVAGT,Work with Service Agent,サービス・エージェントを処理する
WRKSRVPGM,Work with Service Program,サービス・プログラムを処理する
WRKSRVPVD,Work with Service Providers,サービス・プロバイダーを処理する
WRKSRVTBLE,Work with Service Table Entries,サービス・テーブル項目を処理する
WRKSYSACT,Work with System Activity,システム活動を処理する
WRKSYSSTS,Work with System Status,システム状況を処理する
WRKSYSVAL,Work with System Value,システム値を処理する
WRKTAPCTG,Work with Tape Cartridges,磁気テープ・カートリッジを処理する
WRKTBL,Work with Tables,テーブルを処理する
WRKTCPSTS,Work with TCP/IP Network Status,TCP/IPネットワーク状況を処理する
WRKTIE,Work with TIE,TIEを処理する
WRKTIMZON,Work with Time Zone Descriptions,時間帯記述を処理する
WRKTRC,Work with Traces,トレースを処理する
WRKUSRJOB,Work with User Jobs,ユーザー・ジョブを処理する
WRKUSRPRF,Work with User Profiles,ユーザー・プロファイルを処理する
WRKUSRTBL,Work with User Tables,ユーザー・テーブルを処理する
WRKWCH,Work with Watches,監視を処理する
WRKWTR,Work with Writers,書き出しプログラムを処理する
